Data;Gaz;Prąd;;Data;Gaz;Prąd
;;;;;2850;124
11.12.2023;2850;124;;11.12.2023;0;0
12.12.2023;2863;140;;12.12.2023;13;16
13.12.2023;2873;165;;13.12.2023;10;25
14.12.2023;2885;177;;14.12.2023;12;12
;;;;;;
16.12.2023;2912;219;;16.12.2023;27;32
17.12.2023;2922;230;;17.12.2023;10;11
18.12.2023;2933;254;;18.12.2023;11;24
19.12.2023;2939;270;;19.12.2023;6;16
20.12.2023;2950;280;;20.12.2023;11;10
21.12.2023;2966;298;;21.12.2023;16;18
22.12.2023;2979;316;;22.12.2023;13;18
23.12.2023;2993;348;;23.12.2023;14;32
24.12.2023;3008;389;;24.12.2023;15;41
;;;;;;
26.12.2023;3019;444;;26.12.2023;11;55
27.12.2023;3030;463;;27.12.2023;11;19
28.12.2023;3041;485;;28.12.2023;11;22
29.12.2023;3051;508;;29.12.2023;10;23
;;;;;;
;;;;;;
01.01.2024;3073;547;;01.01.2024;22;49
02.01.2024;3087;565;;02.01.2024;14;18
03.01.2024;3100;586;;03.01.2024;13;21
04.01.2024;3111;602;;04.01.2024;11;16
05.01.2024;3124;624;;05.01.2024;13;22
06.01.2024;3136;642;;06.01.2024;12;18
07.01.2024;3155;672;;07.01.2024;19;30
08.01.2024;3171;692;;08.01.2024;16;20
09.01.2024;3189;710;;09.01.2024;18;18
10.01.2024;3207;735;;10.01.2024;18;25
11.01.2024;3224;754;;11.01.2024;17;19
;;;;;;
13.01.2024;3253;802;;13.01.2024;29;48
14.01.2024;3268;823;;14.01.2024;15;21
15.01.2024;3278;845;;15.01.2024;10;22
16.01.2024;3291;866;;16.01.2024;13;21
17.01.2024;3301;884;;17.01.2024;10;18
18.01.2024;3318;907;;18.01.2024;17;23
19.01.2024;3329;926;;19.01.2024;11;19
20.01.2024;3344;953;;20.01.2024;15;27
21.01.2024;3354;953;;21.01.2024;10;0
22.01.2024;3367;991;;22.01.2024;13;38
23.01.2024;3381;1009;;23.01.2024;14;18
